label,x,y,score,class,year,citations,title,doi
Marti A. Hearst (1992),-1004.268,3682.028,0.002,0,1992,3286,Automatic acquisition of hyponyms from large text corpora,10.3115/992133.992154
George A. Miller et al. (1990),1098.919,3829.158,0.045,3,1990,4193,Introduction to WordNet: An On-line Lexical Database<sup>*</sup>,10.1093/ijl/3.4.235
George A. Miller & Patricia E. Nicely (1955),1659.91,3855.449,0.001,3,1955,1833,An Analysis of Perceptual Confusions Among Some English Consonants,10.1121/1.1907526
Paul A. Luce & David B. Pisoni (1998),3277.996,5351.112,0,3,1998,1915,Recognizing Spoken Words: The Neighborhood Activation Model,10.1097/00003446-199802000-00001
William D. Marslen‐Wilson & A. H. Welsh (1978),3539.5,5206.087,0,3,1978,1425,Processing interactions and lexical access during word recognition in continuous speech,10.1016/0010-0285(78)90018-x
Patrick Henry Winston (1976),1932.462,3044.977,0,0,1976,2574,The psychology of computer vision,10.1016/0031-3203(76)90020-0
Moshe Bar (2004),598.142,4002.972,0.017,3,2004,1655,Visual objects in context,10.1038/nrn1476
Ronald A. Rensink et al. (1997),1411.48,3797.417,0.001,3,1997,2314,To See or not to See: The Need for Attention to Perceive Changes in Scenes,10.1111/j.1467-9280.1997.tb00427.x
Jeremy M. Wolfe et al. (1989),1824.486,4954.495,0,3,1989,1389,Guided search: An alternative to the feature integration model for visual search.,10.1037/0096-1523.15.3.419
Anne Treisman & Garry A. Gelade (1980),967.233,3904.168,0.013,3,1980,12268,A feature-integration theory of attention,10.1016/0010-0285(80)90005-5
Richard M. Shiffrin & Walter Schneider (1977),4910.282,6564.55,0.014,3,1977,7095,"Controlled and automatic human information processing: II. Perceptual learning, automatic attending and a general theory.",10.1037/0033-295x.84.2.127
Jeroen G. Raaijmakers & Richard M. Shiffrin (1981),4815.947,6913.21,0,3,1981,1606,Search of associative memory.,10.1037/0033-295x.88.2.93
John R. Anderson (2013),4695.047,6252.251,0,3,2013,2177,"Language, Memory, and Thought",10.4324/9780203780954
John R. Anderson (1993),5323.841,6327.451,0,3,1993,1899,Rules of the Mind,
